"llaveho","c_ingxtrab","ingxtrab","c_ingxrnta","ingxrnta","c_ingxinv","ingxinv","c_otrosing","otrosing","ing_total","tipo_ing","destiping"
"0000046031",1,20800,0,0,0,0,1,36400,57200,1,"Con Ingreso Positivo"
"0000046041",1,104000,0,0,0,0,1,72000,176000,1,"Con Ingreso Positivo"
"0000046051",1,52000,0,0,0,0,1,13000,65000,1,"Con Ingreso Positivo"
"0000047011",1,119600,0,0,0,0,0,0,119600,1,"Con Ingreso Positivo"
"0000047021",1,130000,0,0,0,0,1,29600,159600,1,"Con Ingreso Positivo"
"0000047031",1,72800,0,0,0,0,1,26000,98800,1,"Con Ingreso Positivo"
"0000047041",1,135200,0,0,0,0,1,0,135200,1,"Con Ingreso Positivo"
"0000047051",1,93600,0,0,0,0,0,0,93600,1,"Con Ingreso Positivo"
"0000048021",1,0,0,0,0,0,1,60000,60000,1,"Con Ingreso Positivo"
"0000048031",1,81600,0,0,0,0,1,33300,114900,1,"Con Ingreso Positivo"
"0000048051",1,240000,0,0,0,0,0,0,240000,1,"Con Ingreso Positivo"
"0000049021",1,492000,0,0,0,0,0,0,492000,1,"Con Ingreso Positivo"
"0000049041",1,240000,0,0,0,0,1,75300,315300,1,"Con Ingreso Positivo"
"0000050011",1,0,0,0,0,0,1,43800,43800,1,"Con Ingreso Positivo"
"0000050021",1,81600,0,0,0,0,0,0,81600,1,"Con Ingreso Positivo"
"0000050051",1,266400,0,0,0,0,0,0,266400,1,"Con Ingreso Positivo"
"0000051011",1,119200,0,0,0,0,0,0,119200,1,"Con Ingreso Positivo"
"0000051021",1,0,0,0,1,156000,1,159000,315000,1,"Con Ingreso Positivo"
"0000051031",1,0,0,0,0,0,1,123300,123300,1,"Con Ingreso Positivo"
"0000051051",1,418200,0,0,0,0,0,0,418200,1,"Con Ingreso Positivo"
"0000052011",1,72000,0,0,0,0,0,0,72000,1,"Con Ingreso Positivo"
"0000052021",1,88800,0,0,0,0,0,0,88800,1,"Con Ingreso Positivo"
"0000052031",1,122200,0,0,0,0,0,0,122200,1,"Con Ingreso Positivo"
"0000052041",1,321600,0,0,0,0,0,0,321600,1,"Con Ingreso Positivo"
"0000052051",1,176800,0,0,0,0,0,0,176800,1,"Con Ingreso Positivo"
"0000053011",1,198000,0,0,0,0,1,10800,208800,1,"Con Ingreso Positivo"
"0000053031",1,50400,0,0,0,0,0,0,50400,1,"Con Ingreso Positivo"
"0000053051",1,163200,0,0,0,0,0,0,163200,1,"Con Ingreso Positivo"
"0000054021",1,55200,0,0,0,0,1,26000,81200,1,"Con Ingreso Positivo"
"0000054031",1,0,0,0,0,0,1,12000,12000,1,"Con Ingreso Positivo"
"0000054041",1,109200,0,0,0,0,1,32400,141600,1,"Con Ingreso Positivo"
"0000054051",1,62400,0,0,0,0,0,0,62400,1,"Con Ingreso Positivo"
"0000054052",1,57600,0,0,0,0,0,0,57600,1,"Con Ingreso Positivo"
"0000055021",1,216000,0,0,0,0,0,0,216000,1,"Con Ingreso Positivo"
"0000055022",1,150000,0,0,0,0,0,0,150000,1,"Con Ingreso Positivo"
"0000055031",1,2006400,0,0,0,0,0,0,2006400,1,"Con Ingreso Positivo"
"0000055041",1,360000,0,0,0,0,0,0,360000,1,"Con Ingreso Positivo"
"0000055051",1,1428000,1,4e+06,0,0,0,0,5428000,1,"Con Ingreso Positivo"
"0000056031",1,240000,0,0,0,0,1,45000,285000,1,"Con Ingreso Positivo"
"0000057011",1,96000,0,0,0,0,1,0,96000,1,"Con Ingreso Positivo"
"0000058011",1,144000,0,0,0,0,0,0,144000,1,"Con Ingreso Positivo"
"0000058021",1,432000,0,0,0,0,1,60000,492000,1,"Con Ingreso Positivo"
"0000058041",1,195200,0,0,0,0,0,0,195200,1,"Con Ingreso Positivo"
"0000059011",1,120000,0,0,0,0,1,9600,129600,1,"Con Ingreso Positivo"
"0000059021",1,196800,0,0,0,0,0,0,196800,1,"Con Ingreso Positivo"
"0000059031",1,132000,0,0,0,0,0,0,132000,1,"Con Ingreso Positivo"
"0000060011",1,0,0,0,0,0,0,0,0,2,"Con Ingreso cero"
"0000060041",1,156000,0,0,0,0,0,0,156000,1,"Con Ingreso Positivo"
"0000060051",1,156000,0,0,0,0,0,0,156000,1,"Con Ingreso Positivo"
"0000061011",1,72000,0,0,0,0,0,0,72000,1,"Con Ingreso Positivo"
"0000061021",1,187200,0,0,0,0,0,0,187200,1,"Con Ingreso Positivo"
"0000061031",1,156000,0,0,0,0,0,0,156000,1,"Con Ingreso Positivo"
"0000061041",1,737600,0,0,0,0,0,0,737600,1,"Con Ingreso Positivo"
"0000061051",1,104000,0,0,0,0,0,0,104000,1,"Con Ingreso Positivo"
"0000062011",1,0,0,0,0,0,0,0,0,2,"Con Ingreso cero"
"0000062021",1,120000,0,0,0,0,0,0,120000,1,"Con Ingreso Positivo"
"0000062031",1,279200,0,0,0,0,0,0,279200,1,"Con Ingreso Positivo"
"0000062051",1,0,0,0,0,0,0,0,0,2,"Con Ingreso cero"
"0000063011",1,312000,0,0,0,0,0,0,312000,1,"Con Ingreso Positivo"
"0000063021",1,156000,0,0,0,0,0,0,156000,1,"Con Ingreso Positivo"
"0000063041",1,156000,0,0,0,0,0,0,156000,1,"Con Ingreso Positivo"
"0000064021",1,346000,0,0,0,0,0,0,346000,1,"Con Ingreso Positivo"
"0000064031",1,396000,0,0,0,0,0,0,396000,1,"Con Ingreso Positivo"
"0000064041",1,41600,0,0,0,0,0,0,41600,1,"Con Ingreso Positivo"
"0000064051",1,60000,0,0,0,0,0,0,60000,1,"Con Ingreso Positivo"
"0000065011",1,132000,0,0,0,0,0,0,132000,1,"Con Ingreso Positivo"
"0000065021",1,78000,0,0,0,0,0,0,78000,1,"Con Ingreso Positivo"
"0000065031",1,228240,0,0,0,0,0,0,228240,1,"Con Ingreso Positivo"
"0000065041",1,110400,0,0,0,0,0,0,110400,1,"Con Ingreso Positivo"
"0000066021",1,275600,0,0,0,0,1,33600,309200,1,"Con Ingreso Positivo"
"0000066041",1,67600,0,0,0,0,1,1200,68800,1,"Con Ingreso Positivo"
"0000066051",1,90000,0,0,0,0,0,0,90000,1,"Con Ingreso Positivo"
"0000067011",1,62400,0,0,0,0,1,9000,71400,1,"Con Ingreso Positivo"
"0000067021",1,0,0,0,0,0,0,0,0,2,"Con Ingreso cero"
